id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
54	amelia lewis (2025)	<table><tr><td>Authors:</td><td>amelia lewis</td></tr><tr><td>Title:</td><td>a response to burghardt (2024): why heterophenomenology could improve animal welfare</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09601-5	0.8576	0.3046	1	6	9	0	0	2025	0	0
55	luccas vaz dantas dos santos (2025)	<table><tr><td>Authors:</td><td>luccas vaz dantas dos santos</td></tr><tr><td>Title:</td><td>perception and cognition: a metaconceptual approach</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09602-4	0.078	0.665	3	210	332	0	0	2025	0	0
56	brian khumalo (2025)	"<table><tr><td>Authors:</td><td>brian khumalo; shankar aswani</td></tr><tr><td>Title:</td><td>semio-materialism: a quest for a science of culture</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-025-09600-6	0.3953	0.4588	3	60	63	0	0	2025	0	0
57	arash ghazvineh (2025)	<table><tr><td>Authors:</td><td>arash ghazvineh</td></tr><tr><td>Title:</td><td>interactive signs and digital umwelts: rethinking meaning in the age of platfospheres</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09607-z	0.5383	0.305	1	208	351	0	0	2025	0	0
58	yulia nikitenko (2025)	<table><tr><td>Authors:</td><td>yulia nikitenko</td></tr><tr><td>Title:</td><td>semioethics’ quest for responsible semiosis and some relevant intuitions of religious philosophy</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09605-1	0.9957	0.6786	1	6	9	0	0	2025	0	0
59	keith moser (2025)	<table><tr><td>Authors:</td><td>keith moser</td></tr><tr><td>Title:</td><td>launching a transdisciplinary call for semioethical virtue ethics in the anthropocene/capitalocene</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09608-y	1.2009	-0.1059	1	8	8	0	0	2025	0	0
60	alin olteanu (2025)	"<table><tr><td>Authors:</td><td>alin olteanu; fabio de leonardis</td></tr><tr><td>Title:</td><td>semioethic horizons: humanism of alterity and semiotics of technology</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-025-09606-0	0.8521	0.5293	1	93	131	0	0	2025	0	0
61	alessandra anastasi (2025)	<table><tr><td>Authors:</td><td>alessandra anastasi</td></tr><tr><td>Title:</td><td>perfect liars: the evolutionary role of deception as a cognitive and communicative strategy across species</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09610-4	0.5781	-0.4329	6	104	120	0	0	2025	0	0
62	federico comollo (2025)	<table><tr><td>Authors:</td><td>federico comollo</td></tr><tr><td>Title:</td><td>ethics of plants: interconnections between biosemiotics and critical plant studies</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09611-3	0.4528	0.4811	1	117	143	0	0	2025	0	0
63	nicola zengiaro (2025b)	<table><tr><td>Authors:</td><td>nicola zengiaro</td></tr><tr><td>Title:</td><td>physiophilia and semioethics: a revised perspective on semiotic response-ability</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09614-0	0.9272	0.6324	1	24	30	0	0	2025	0	0
